BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
8901088051194,50,PARACHUTE AYURVEDIC HAIR OIL 100ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE AYURVEDIC,PC
8901088051200,91,PARACHUTE AYURVEDIC HAIR OIL 200ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE AYURVEDIC,PC
8901088051361,0,SAFFOLA ARISE 5 KG POUCH,STAPLES,RICE,MARICO,SAFFOLA ARISE,PC
8901088051590,59,PARACHUTE ADV BODY LTON DRY SKIN 100ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088051613,125,PARACHUTE ADV BODY LTON DRY SKIN 250ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088051620,49,PARACHUTE ADV BODY LTON ALL SESON 100ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088051644,99,PARACHUTE MOISTURISER DRY 250M,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088054379,0,SAFFOLA ARISE BASMATI RICE 5 KG,STAPLES,RICE,MARICO,SAFFOLA ARISE,PC
8901088054386,0,SAFFOLA ARISE BASMATI RICE 1 KG,STAPLES,RICE,MARICO,SAFFOLA ARISE,PC
8901088054393,0,SAFFOLA ARISE LONG GRAIN RICE 5 KG,STAPLES,RICE,MARICO,SAFFOLA ARISE,PC
8901088054409,0,SAFFOLA ARISE LONG GRAIN RICE 1 KG,STAPLES,RICE,MARICO,SAFFOLA ARISE,PC
8901088055772,149,SAFFOLA OATS PP 1Kg,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088055802,50,PARACHUTE COCONUT OIL 175ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088056373,15,SAFFOLA OATS CURRY 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088056403,15,SAFFOLA OATS MASALA & CORIANDER 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088056571,28,PARACHUTE HAIR OIL ADV AYURVEDIC 45ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ADVANSED,PC
8901088056588,50,PARACHUTE HAIR OIL ADV AYURVEDIC 95ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ADVANSED,PC
8901088056595,93,PARACHUTE HAIR OIL ADV AYURVEDIC 190ml,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ADVANSED,PC
8901088056991,22,PARACHUTE MOISTURISER DRY 40ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ,PC
8901088057097,0,REVIVE LIQUID 430 GM,HOME CARE,FABRIC SOFTENER/LIQUID WASJ,MARICO,REVIVE ,PC
8901088057127,52,PARACHUTE COOLING OIL 90ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088057134,90,PARACHUTE COOLING OIL 200ML,PERSONAL CARE,HAIR OIL,MARICO,PARACHUTE ,PC
8901088059572,70,PARACHUTE ADVANSED SUMMER FRSH B/L 100ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088059589,140,PARACHUTE ADVANSED SUMMER FRSH B/L 250ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
8901088059664,60,SAFFOLA OATS MASALA 43G 4+1 FR,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088059671,60,SAFFOLA OATS CURRY 43G 4+1 FRE,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088060547,15,SAFFOLA OATS PEPPER & SPICE 42G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061506,47,REVIVE LIQUID STARCH 200G,HOME CARE,FABRIC SOFTENER/LIQUID WASJ,MARICO,REVIVE ,PC
8901088061537,90,REVIVE LIQUID 400ML,HOME CARE,FABRIC SOFTENER/LIQUID WASJ,MARICO,REVIVE ,PC
8901088061681,170,SAFFOLA MUESLI NUTTY CRUNCH 400G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061698,99,SAFFOLA MUESLI NUTTY CRUNCH ALMOND 225g,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061704,10,SAFFOLA MUESLI NUTTY CRUNCH 25G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061711,170,SAFFOLA MUESLI FRUIT RUSH 400G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
